"dataset_name","id","author_id","conversation_id","text","source","retweet_count","reply_count","like_count","quote_count","in_reply_to_user_id"
"account - Alex__Lachance","745820769662402561","2258234934","745775733306335232","@halolordkiller3 @majornelson he is working for Microsoft and he has an apple watch xD","Twitter for iPad","0","1","0","0","53955057"
"account - Alex__Lachance","742425039216214021","2258234934","742425039216214021","RT @CSGOLotto: HUGE NEW GIVEAWAY!

Karambit Sapphire &amp; Ruby

RT + Follow, more entries https://t.co/1L4MnP9wO7

GLHF! https://t.co/aKDSj0Zb…","Twitter Web Client","16813","0","0","0",""
"account - Alex__Lachance","742422772060676096","2258234934","742422772060676096","RT @ProSyndicate: @CaptainSparklez YOU BEAT @jackfrags !?!?","Twitter Web Client","20","0","0","0",""
"account - Alex__Lachance","734906364741492737","2258234934","734906364741492737","RT @CSGOLotto: NEW GIVEAWAY!

5 Marble Fade Knives = 5 winners!

RT + Follow, more entries https://t.co/lMgtyB4T0y

GLHF! https://t.co/w6bY…","Twitter for iPad","15670","0","0","0",""
"account - Alex__Lachance","732608697382363136","2258234934","732608697382363136","RT @PlayHappyClub: CONCOURS : Overwatch, Hitman, Doom + 50 clés
RT et suis @PlayHappyClub et @dlcompare_fr
Tirage le 26/05 https://t.co/zKf…","Twitter for iPad","4196","0","0","0",""
"account - Alex__Lachance","730167526676647936","2258234934","730167526676647936","I just entered to win a Xbox Elite from @TechnoBuffalo and @DJMany https://t.co/1E0eL32zJU","Twitter Web Client","0","0","1","0",""
"account - Alex__Lachance","727535822334005248","2258234934","727535822334005248","RT @CSGOLotto: NEW GIVEAWAY!

ST AK-47 Fuel Injector &amp; ST Bayo Tiger Tooth

RT+Follow, more entries https://t.co/OWjtNLq17O

GLHF! https://…","Twitter for iPad","12574","0","0","0",""
"account - Alex__Lachance","725727092076347392","2258234934","725727092076347392","RT @CSGOLotto: Don't miss out on this giveaway!

Factory new Medusa and M9 Bayonet Doppler https://t.co/9w513kDb81 

@CSGOLotto https://t.c…","Twitter for iPad","686","0","0","0",""
"account - Alex__Lachance","724642037396545537","2258234934","724642037396545537","RT @CSGOLotto: Dat Medusa looks real good. Be sure to enter the latest giveaway

RT+Follow+Enter https://t.co/9w513kDb81
@CSGOLotto https:/…","Twitter for iPad","1640","0","0","0",""
"account - Alex__Lachance","724641725994680320","2258234934","724641725994680320","RT @CSGOLotto: Have you entered for @hotted89's FN Dragon Lore giveaway?!

RT+Follow, more entries here: https://t.co/AMeQ4dBqNX https://t.…","Twitter for iPad","4996","0","0","0",""
"account - Alex__Lachance","719925399325696000","2258234934","719925399325696000","RT @CSGOLotto: Four days left on @JoshOG's M9 Bayonet Doppler Ruby giveaway!

RT + Follow. Bonus entries: https://t.co/YdQM9BjChK https://t…","Twitter for iPad","4285","0","0","0",""
"account - Alex__Lachance","719562877917597696","2258234934","719562877917597696","RT @CSGOLotto: NEW GIVEAWAY!

ST Karambit &amp; ST AK-47 Case Hardened

RT+Follow, more entries here: https://t.co/oUsZ7f0KKn 

GLHF! https://t…","Twitter for iPad","13849","0","0","0",""
"account - Alex__Lachance","718118576864014336","2258234934","718118576864014336","RT @nickbunyun: YOOO! FN BUTTERFLY FADE - April 20th Giveaway - You guys got a ton of ways to enter! https://t.co/0g7OR7YWmx https://t.co/Q…","Twitter for iPad","6656","0","0","0",""
"account - Alex__Lachance","717856784803880961","2258234934","717856784803880961","RT @UnboxTherapy: P9 Smartphone Giveaway from @HuaweiDevice / @UnboxTherapy begins NOW - Follow &amp; RT this tweet to enter! https://t.co/48gm…","Twitter Web Client","53933","0","0","0",""
"account - Alex__Lachance","717751252071919616","2258234934","717751252071919616","RT @OMGSERV: #Concours

Un Pack #Mumble + #Minecraft ILLIMITÉ pour 12 Mois à Gagner !

Pour participer :
► #RT + Follow @OMGSERV https://t.…","Twitter for iPad","2316","0","0","0",""
"account - Alex__Lachance","716732697452871681","2258234934","716732697452871681","RT @CSGOLotto: We've teamed up with @JoshNissan to give away a FN AWP Dragon Lore!

RT, Follow, enter here: https://t.co/9ztvLGjwDf https:/…","Twitter for iPad","6051","0","0","0",""
"account - Alex__Lachance","715942222840086528","2258234934","715942222840086528","RT @CSGOLotto: M9 Bayonet Sapphire giveaway with @hotted89! Make sure to follow, RT, and enter here: https://t.co/WiTdupCGK6 https://t.co/8…","Twitter for iPad","5943","0","0","0",""
"account - Alex__Lachance","713507437375053825","2258234934","713507437375053825","RT @CSGOLotto: DAILY GIVEAWAY!

StatTrak™ M9 Bayonet Marble Fade (FN)

RT+Follow, more entries here: https://t.co/w17HUsQgF8

GLHF! https:/…","Twitter for iPad","12176","0","0","0",""
"account - Alex__Lachance","711693998038114305","2258234934","711693998038114305","RT @nickbunyun: Not everyone can be on stream so twitter giveaway! FN ST Flip Fade, Follow, Fav, Retweet for 3 chances. On March 31! https:…","Twitter Web Client","12476","0","0","0",""
